seed,method,accuracy,precision,recall,f1,detected
1,Bagging,0.9873333333333333,0.8636363636363636,0.7450980392156863,0.8,38
1,Majority Voting,0.978,0.875,0.4117647058823529,0.56,21
1,Original CSWE,0.9753333333333334,1.0,0.27450980392156865,0.4307692307692308,14
1,Confidence-Aware CSWE,0.9833333333333333,0.7166666666666667,0.8431372549019608,0.7747747747747747,43
2,Bagging,0.9846666666666667,0.78,0.7647058823529411,0.7722772277227723,39
2,Majority Voting,0.9806666666666667,0.7894736842105263,0.5882352941176471,0.6741573033707865,30
2,Original CSWE,0.976,0.8260869565217391,0.37254901960784315,0.5135135135135135,19
2,Confidence-Aware CSWE,0.9773333333333334,0.660377358490566,0.6862745098039216,0.6730769230769231,35
3,Bagging,0.9846666666666667,0.85,0.6666666666666666,0.7472527472527473,34
3,Majority Voting,0.9773333333333334,0.84,0.4117647058823529,0.5526315789473685,21
3,Original CSWE,0.9713333333333334,0.9,0.17647058823529413,0.29508196721311475,9
3,Confidence-Aware CSWE,0.9786666666666667,0.6727272727272727,0.7254901960784313,0.6981132075471698,37
4,Bagging,0.984,0.8857142857142857,0.6078431372549019,0.7209302325581395,31
4,Majority Voting,0.9753333333333334,0.8181818181818182,0.35294117647058826,0.4931506849315068,18
4,Original CSWE,0.9726666666666667,1.0,0.19607843137254902,0.32786885245901637,10
4,Confidence-Aware CSWE,0.9793333333333333,0.8571428571428571,0.47058823529411764,0.6075949367088608,24
42,Bagging,0.982,0.8157894736842105,0.6078431372549019,0.6966292134831461,31
42,Majority Voting,0.9753333333333334,0.7916666666666666,0.37254901960784315,0.5066666666666667,19
42,Original CSWE,0.9733333333333334,0.9230769230769231,0.23529411764705882,0.375,12
42,Confidence-Aware CSWE,0.9793333333333333,0.7083333333333334,0.6666666666666666,0.6868686868686869,34
